day_number,collision_date,num_collisions,weather_date,temperature,dew_point,sea_level_pressure,visibility,wind_speed,max_sustained_wind_speed,max_wind_gust,max_temperature,min_temperature,total_precipitation,snow_depth,fog_occurred
4,2021-02-04,277,2021-02-04,35.0,19.9,1008.6,10.0,6.7,11.1,19.0,43.0,28.9,0.01,13.0,0
6,2021-02-13,210,2021-02-13,27.5,5.2,1026.0,10.0,5.6,8.9,15.9,28.9,25.0,0.0,7.9,0
7,2021-02-07,243,2021-02-07,35.9,21.1,1016.3,6.2,4.5,8,999.9,44.1,30.9,0.0,7.1,1
4,2021-02-18,256,2021-02-18,28.1,13.5,1030.8,5.9,6.8,12,20.0,34.0,21.9,0.0,3.1,1
6,2021-02-06,275,2021-02-06,39.4,16.7,1013.0,10.0,6.6,13,28.9,46.9,34.0,0.07,9.1,0
2,2021-02-16,213,2021-02-16,40.2,34.4,1007.0,5.1,6.2,12,24.1,51.1,30.9,0.82,7.1,1
2,2021-02-02,238,2021-02-02,32.0,28.5,997.7,2.9,8.8,17.1,27.0,34.0,21.9,1.63,5.1,1
2,2021-02-09,229,2021-02-09,29.8,20.2,1025.8,8.4,4.3,7,999.9,33.8,26.1,0.0,9.8,1
6,2014-02-15,516,2014-02-15,35.6,23.9,1006.5,7.0,6.5,14.0,22.0,39.9,30.9,0.3,18.1,1
7,2014-02-09,450,2014-02-09,25.5,8.3,1020.2,9.3,3.8,8.0,999.9,30.9,21.0,0.0,9.1,0
7,2014-02-16,464,2014-02-16,26.6,11.6,1011.2,9.1,8.3,13.0,24.1,37.0,21.0,0.13,18.1,0
6,2014-02-01,507,2014-02-01,39.1,17.2,1024.3,9.9,2.4,6.0,999.9,44.1,25.0,0.0,1.2,0
6,2014-02-08,424,2014-02-08,25.9,5.0,1025.2,10.0,4.4,8.9,15.0,32.0,21.0,0.0,9.1,0
6,2014-02-22,587,2014-02-22,46.0,25.8,1014.5,10.0,5.8,11.1,19.0,54.0,41.0,0.09,13.0,0
5,2014-12-12,687,2014-12-12,34.5,21.0,1013.4,10.0,6.2,11.1,15.9,37.9,30.9,0.01,1.2,0
2,2014-02-25,513,2014-02-25,28.2,9.0,1016.7,10.0,7.3,14.0,22.0,44.1,24.1,0.0,5.9,0
5,2014-02-28,655,2014-02-28,16.5,-8.0,1024.3,10.0,6.1,14.0,24.1,34.0,9.0,0.0,5.9,0
3,2014-02-12,640,2014-02-12,18.9,2.7,1032.4,10.0,5.0,8.9,14.0,26.1,12.9,0.0,9.8,0
2,2014-03-11,510,2014-03-11,53.6,30.9,1002.9,9.9,4.6,8.0,15.9,64.9,36.0,0.0,1.2,0
1,2014-02-24,569,2014-02-24,39.1,17.0,1011.6,10.0,7.6,13.0,22.9,54.0,32.0,0.0,9.1,0
5,2014-01-24,705,2014-01-24,14.7,-3.6,9999.9,999.9,999.9,999.9,999.9,19.4,10.4,0.0,7.1,0
4,2014-01-23,612,2014-01-23,13.1,-2.3,9999.9,999.9,999.9,999.9,999.9,19.4,8.6,0.02,11.0,0
3,2014-02-05,468,2014-02-05,31.8,27.5,1015.2,4.1,6.4,13.0,24.1,35.1,21.9,0.97,7.9,1
1,2014-03-03,440,2014-03-03,25.3,7.2,1019.9,8.7,5.7,12.0,20.0,39.9,19.0,0.04,5.1,0
3,2014-02-26,511,2014-02-26,27.4,9.3,1012.7,8.9,5.0,14.0,22.0,33.1,24.1,0.0,5.9,0
6,2014-03-08,515,2014-03-08,42.8,26.9,1011.4,10.0,5.1,11.1,20.0,57.0,26.1,0.0,3.9,0
6,2014-01-04,418,2014-01-04,15.8,-1.4,1031.0,10.0,4.0,8.0,17.1,28.0,8.1,0.02,5.9,0
7,2014-03-09,404,2014-03-09,41.4,18.9,1013.9,9.6,5.6,9.9,18.1,57.0,35.1,0.0,3.1,0
7,2014-02-02,417,2014-02-02,45.1,34.2,1015.0,7.8,3.1,7.0,999.9,55.9,36.0,0.0,1.2,0
2,2014-03-04,532,2014-03-04,20.1,-0.1,1027.2,10.0,4.4,8.0,999.9,32.0,12.9,0.0,5.1,0
